TRADEDATE,BOARDID,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,TRENDCLSPR
2024-04-01,TQBR,ROSN,92818,4675167978.4,568.0,566.8,573.55,570.6,568.85,8194319,0.55
2024-04-02,TQBR,ROSN,51281,2758385527.6,570.0,567.5,574.5,570.45,572.9,4834554,0.71
2024-04-03,TQBR,ROSN,59127,2783523091.55,573.1,572.0,579.0,576.3,576.9,4829568,0.7
2024-04-04,TQBR,ROSN,49575,2269373130.15,577.75,575.65,580.0,578.3,578.05,3924251,0.2
2024-04-05,TQBR,ROSN,47074,1904563196.05,578.85,574.0,579.65,577.15,576.1,3300134,-0.34
2024-04-08,TQBR,ROSN,56726,1899524002.8,576.3,571.55,579.75,575.7,574.5,3298221,-0.28
2024-04-09,TQBR,ROSN,65249,2662585757.55,574.5,565.75,576.2,570.9,568.4,4663495,-1.06
2024-04-10,TQBR,ROSN,41832,1420310687.9,568.5,565.6,574.5,571.05,573.2,2487296,0.84
2024-04-11,TQBR,ROSN,55332,2174077340.4,573.2,573.2,579.0,576.3,575.25,3772702,0.36
2024-04-12,TQBR,ROSN,42834,1820663426.0,576.0,575.9,579.5,577.65,576.15,3152068,0.16
2024-04-15,TQBR,ROSN,89512,4140575238.8,578.95,578.1,589.85,584.9,589.75,7079255,2.36
2024-04-16,TQBR,ROSN,57087,3118455565.7,590.0,585.7,592.5,589.35,589.1,5290388,-0.11
2024-04-17,TQBR,ROSN,54186,2235955826.3,589.15,581.3,590.75,586.15,584.35,3814643,-0.81
2024-04-18,TQBR,ROSN,45807,2209047199.15,583.85,576.55,585.85,579.95,579.15,3808318,-0.89
2024-04-19,TQBR,ROSN,52632,2048684812.9,582.0,578.05,588.4,584.05,585.35,3507875,1.07
2024-04-22,TQBR,ROSN,65095,1862958758.0,586.7,581.0,589.4,583.75,583.15,3191089,-0.38
2024-04-23,TQBR,ROSN,53859,2162791865.5,583.85,580.25,589.0,584.8,580.85,3699539,-0.39
2024-04-24,TQBR,ROSN,68373,1713465735.1,582.35,572.0,583.4,577.4,576.3,2968087,-0.78
2024-04-25,TQBR,ROSN,39210,1313338242.25,577.0,573.0,581.25,578.75,579.8,2269626,0.61
2024-04-26,TQBR,ROSN,42750,1276997728.35,579.95,578.6,584.9,581.85,581.3,2194810,0.26
