,BOARDID,TRADEDATE,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,WAPRICE,CLOSE,VOLUME,ADMITTEDQUOTE,ADMITTEDVALUE,TRENDCLSPR
0,TQBR,2021-01-04,LKOH,25148,4077814489.0,5238.5,5186.5,5274.5,5239.0,5212.5,778343,5243.5,3534439785.5,0.83
1,TQBR,2021-01-05,LKOH,33260,6222500542.5,5214.5,5180.0,5359.0,5278.0,5358.5,1178943,5311.0,5159927106.5,2.8
2,TQBR,2021-01-06,LKOH,38447,7490176190.5,5375.0,5304.0,5401.0,5369.5,5376.5,1394998,5395.0,6804506193.5,0.34
3,TQBR,2021-01-08,LKOH,55384,11402549102.0,5450.0,5425.0,5557.5,5509.0,5556.5,2070143,5521.0,10717623852.0,3.35
4,TQBR,2021-01-11,LKOH,49387,11409883557.0,5510.0,5451.0,5639.0,5572.0,5599.0,2047794,5600.0,11003470110.0,0.76
5,TQBR,2021-01-12,LKOH,44998,9932069867.5,5616.0,5615.0,5724.5,5685.0,5721.0,1747049,5705.0,9317986952.5,2.18
6,TQBR,2021-01-13,LKOH,48343,11786341617.0,5750.0,5706.0,5827.0,5761.5,5755.0,2045581,5787.0,11067061709.5,0.59
7,TQBR,2021-01-14,LKOH,56332,12369392481.5,5750.0,5715.0,5957.5,5868.0,5937.0,2106542,5907.5,11572096065.0,3.16
8,TQBR,2021-01-15,LKOH,50951,11349931000.5,5882.5,5852.0,5995.0,5925.0,5888.5,1915743,5900.0,10504813974.0,-0.82
9,TQBR,2021-01-18,LKOH,34058,7659285796.0,5865.0,5802.5,5902.0,5854.0,5873.0,1308036,5877.0,7512106052.5,-0.26
10,TQBR,2021-01-19,LKOH,32747,7353644946.0,5913.0,5854.0,5968.0,5913.0,5892.0,1243631,5883.0,6681709167.0,0.32
11,TQBR,2021-01-20,LKOH,26223,5704963137.0,5907.0,5843.0,5962.0,5903.0,5864.0,966472,5864.5,5264714289.0,-0.48
12,TQBR,2021-01-21,LKOH,44944,10584074044.0,5884.5,5710.0,5921.5,5776.5,5771.0,1832271,5767.5,10170754958.5,-1.59
13,TQBR,2021-01-22,LKOH,41942,9356268615.5,5701.0,5626.0,5787.0,5708.0,5740.5,1639101,5729.0,8924589399.0,-0.53
14,TQBR,2021-01-25,LKOH,37928,7557730686.5,5755.0,5675.0,5797.5,5721.5,5722.0,1320901,5728.5,7070807660.5,-0.32
15,TQBR,2021-01-26,LKOH,45134,9120974839.5,5681.0,5553.0,5703.5,5622.5,5595.5,1622050,5590.0,8849063189.5,-2.21
16,TQBR,2021-01-27,LKOH,45343,9599811633.0,5619.5,5484.0,5631.0,5538.5,5499.5,1733280,5500.5,9057371734.0,-1.72
17,TQBR,2021-01-28,LKOH,41764,9340965397.0,5467.0,5442.5,5617.0,5540.5,5575.0,1686020,5580.0,8878779222.5,1.37
18,TQBR,2021-01-29,LKOH,53001,11023222997.5,5552.0,5365.5,5561.5,5452.0,5377.0,2021903,5401.0,10382753657.5,-3.55
19,TQBR,2021-02-01,LKOH,48737,11308462385.0,5420.0,5296.5,5426.0,5350.0,5406.0,2113706,5316.0,10638200013.5,0.54
20,TQBR,2021-02-02,LKOH,56832,13486476730.5,5427.5,5407.5,5577.0,5502.5,5516.0,2451039,5560.0,12566322025.5,2.03
21,TQBR,2021-02-03,LKOH,50770,10005040691.5,5554.0,5491.5,5642.0,5560.0,5555.0,1799457,5526.5,9472743535.5,0.71
22,TQBR,2021-02-04,LKOH,50910,12822850449.5,5565.0,5529.0,5728.5,5645.5,5699.5,2271731,5664.5,12032242461.0,2.6
