TRADEDATE,BOARDID,WAPRICE,CLOSE,OPEN,HIGH,LOW,TRENDCLSPR,NUMTRADES,TradingVolume_RUB,TradingVolume_CONTR,OpenPositionsVolum_RUB,OpenPositionsVolum_CONTR,MarginRequirements
2021-01-04,SiH1,74151.0,74468.0,75175.0,75175.0,73555.0,-0.0097,628063.0,234450156953.0,3161789.0,195876605928.0,2630346.0,6165.0
2021-01-05,SiH1,75122.0,74747.0,74500.0,75818.0,74403.0,0.0043,911840.0,304227626196.0,4049800.0,183061382760.0,2449080.0,6187.0
2021-01-06,SiH1,74323.0,74506.0,74780.0,74780.0,73908.0,-0.0039000000000000003,768465.0,235490576934.0,3168486.0,184370163408.0,2474568.0,6165.0
2021-01-08,SiH1,74709.0,74800.0,74455.0,75350.0,74165.0,0.0036,866939.0,274503458591.0,3674288.0,185417531200.0,2478844.0,5061.0
2021-01-11,SiH1,75069.0,75298.0,74764.0,75528.0,74510.0,0.0068000000000000005,819343.0,285988439605.0,3809695.0,208163278748.0,2764526.0,5093.0
2021-01-12,SiH1,74689.0,74096.0,75254.0,75274.0,74072.0,-0.0155,786687.0,282306916536.0,3779774.0,214455460032.0,2894292.0,5010.0
2021-01-13,SiH1,74187.0,74160.0,74082.0,74485.0,73859.0,0.0006,737727.0,279730809295.0,3770580.0,209404108800.0,2823680.0,5012.0
2021-01-14,SiH1,74018.0,73857.0,74140.0,74513.0,73692.0,-0.004,688338.0,280854677002.0,3794396.0,220087212870.0,2979910.0,4990.0
2021-01-15,SiH1,73969.0,74233.0,73834.0,74368.0,73583.0,0.0053,697646.0,280462778507.0,3791603.0,221582832612.0,2984964.0,5006.0
2021-01-18,SiH1,74510.0,74618.0,74212.0,74863.0,73965.0,0.005,634630.0,257796668933.0,3459908.0,238001125092.0,3189594.0,5029.0
2021-01-19,SiH1,74253.0,74187.0,74604.0,74604.0,74037.0,-0.005600000000000001,540150.0,216690489614.0,2918280.0,227081065536.0,3060928.0,4996.0
2021-01-20,SiH1,73939.0,73917.0,74175.0,74223.0,73647.0,-0.0039000000000000003,562491.0,235664749884.0,3187283.0,226789034886.0,3068158.0,4974.0
2021-01-21,SiH1,74079.0,74111.0,73914.0,74478.0,73600.0,0.0026,598655.0,263779259536.0,3560773.0,249182229524.0,3362284.0,4984.0
2021-01-22,SiH1,74980.0,75553.0,74134.0,75574.0,74134.0,0.0192,768967.0,319411999339.0,4259940.0,257762961252.0,3411684.0,5068.0
2021-01-25,SiH1,75663.0,76193.0,75542.0,76230.0,74987.0,0.0087,865137.0,384949499719.0,5087697.0,260129454598.0,3414086.0,5106.0
2021-01-26,SiH1,75814.0,75464.0,76168.0,76270.0,75357.0,-0.0091,844528.0,344113403470.0,4538926.0,234299268848.0,3104782.0,5052.0
2021-01-27,SiH1,75912.0,76066.0,75489.0,76416.0,75267.0,0.0075,839421.0,354422779470.0,4668894.0,268934233508.0,3535538.0,5087.0
2021-01-28,SiH1,76540.0,76514.0,76041.0,76938.0,75912.0,0.0058,834041.0,354824569894.0,4635786.0,249842847508.0,3265322.0,5111.0
2021-01-29,SiH1,76267.0,75909.0,76450.0,76761.0,75624.0,-0.0074,837682.0,339148078390.0,4446868.0,233441429520.0,3075280.0,5053.0
2021-02-01,SiH1,76099.0,76364.0,75871.0,76543.0,75733.0,0.006,805181.0,325642192455.0,4279192.0,213329706760.0,2793590.0,5077.0
2021-02-02,SiH1,76167.0,76114.0,76372.0,76595.0,75676.0,-0.0034999999999999996,776541.0,324949620826.0,4266269.0,213689902772.0,2807498.0,5055.0
2021-02-03,SiH1,76374.0,76350.0,76075.0,76712.0,75894.0,0.0028000000000000004,765881.0,320442417020.0,4195707.0,203624991900.0,2666994.0,5063.0
2021-02-04,SiH1,75985.0,76090.0,76311.0,76462.0,75639.0,-0.003,654281.0,281928677887.0,3710299.0,212911842220.0,2798158.0,5039.0
2021-02-05,SiH1,75345.0,74952.0,76070.0,76157.0,74830.0,-0.0148,621291.0,268611503416.0,3565067.0,217703780352.0,2904576.0,4943.0
2021-02-08,SiH1,74718.0,74576.0,74924.0,75058.0,74447.0,-0.0054,551356.0,219360714510.0,2935858.0,200638972096.0,2690396.0,4911.0
2021-02-09,SiH1,74383.0,74333.0,74565.0,74759.0,74173.0,-0.0032,580215.0,236649755487.0,3181519.0,209619060000.0,2820000.0,4886.0
2021-02-10,SiH1,74146.0,74190.0,74328.0,74489.0,73911.0,-0.001,562266.0,225027860761.0,3034928.0,214220805780.0,2887462.0,4868.0
2021-02-11,SiH1,74013.0,73883.0,74254.0,74303.0,73801.0,-0.005,454055.0,189077679496.0,2554646.0,224518615720.0,3038840.0,4841.0
2021-02-12,SiH1,74347.0,74103.0,73895.0,74731.0,73877.0,0.0031,705125.0,351486001757.0,4727636.0,234175854420.0,3160140.0,4829.0
2021-02-15,SiH1,73683.0,73581.0,74106.0,74132.0,73385.0,-0.0072,570877.0,250563982141.0,3400408.0,223347473076.0,3035396.0,4786.0
2021-02-16,SiH1,73706.0,73833.0,73552.0,74159.0,73374.0,0.0037,611007.0,250336587996.0,3396420.0,212165327472.0,2873584.0,4790.0
2021-02-17,SiH1,74092.0,74331.0,73818.0,74440.0,73765.0,0.0060999999999999995,669545.0,305082974150.0,4117636.0,227116289232.0,3055472.0,4809.0
2021-02-18,SiH1,74018.0,74303.0,74318.0,74393.0,73725.0,0.0002,632834.0,261874832034.0,3537990.0,211475402966.0,2846122.0,4795.0
2021-02-19,SiH1,74131.0,74160.0,74280.0,74307.0,73981.0,-0.0023,548305.0,211771156698.0,2856712.0,210312420480.0,2835928.0,4776.0
2021-02-20,SiH1,74214.0,74237.0,74175.0,74400.0,74051.0,0.0013,266349.0,116856705497.0,1574590.0,211336258386.0,2846778.0,4754.0
2021-02-22,SiH1,74856.0,74546.0,74247.0,75253.0,74247.0,0.0036,505908.0,226388932196.0,3024344.0,220599803224.0,2959244.0,4748.0
2021-02-24,SiH1,73936.0,73929.0,74515.0,74633.0,73579.0,-0.008,659694.0,304231583263.0,4114770.0,235015115970.0,3178930.0,4696.0
2021-02-25,SiH1,73869.0,74189.0,73946.0,74265.0,73500.0,0.0031,632354.0,264274160216.0,3577588.0,227086890636.0,3060924.0,4700.0
2021-02-26,SiH1,74718.0,74872.0,74169.0,75085.0,74169.0,0.0095,939100.0,416036570117.0,5568126.0,236647780656.0,3160698.0,4705.0
2021-03-01,SiH1,74400.0,74133.0,74822.0,74916.0,74048.0,-0.009899999999999999,668564.0,260353411832.0,3499372.0,224910626040.0,3033880.0,4647.0
